Country,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value
Mozambique,2.3364,16,8,0,1,1,6,2,100,335,0,260,12,8.0,0.0,0.0,0.0,0.0,"24,50,00,000","10,91,00,00,000",98,0,22500,0,"46,29,744","2,72,33,789","7,99,380",2470,460,4783.0
Myanmar,0.5691,276,59,21,27,82,86,9,434,1300,108,1612,84,187.0,0.0,1.0,0.0,5.0,"2,65,00,00,000","6,59,40,00,000",64,12000,42600,"13,90,00,000","3,02,58,643","5,56,22,506","6,76,578",1930,12800,6522.0
Namibia,3.2817,30,6,0,3,14,7,2,7,410,0,50,4,8.0,0.0,0.0,0.0,0.0,"50,50,00,000","7,96,90,00,000",112,0,25000,0,"5,82,642","25,33,224","8,24,292",1572,0,4220.0
Nepal,2.9891,16,0,0,3,0,13,0,0,214,0,84,0,,,,,,"21,30,00,000","5,84,90,00,000",47,0,20000,0,"1,47,39,923","2,97,17,587","1,47,181",,0,3159.0
Netherlands,0.5919,168,61,1,4,27,75,28,18,1546,57,160,0,63.0,0.0,4.0,0.0,6.0,"12,41,90,00,000","40,63,00,00,00,000",29,18170,"8,40,000","11,32,00,000","78,20,960","1,71,51,228",41543,451,6237,1053.0
New Zealand,1.3684,48,0,0,7,13,22,0,0,200,0,24,0,11.0,0.0,0.0,0.0,2.0,"4,30,00,00,000","91,62,00,00,000",123,31480,"1,50,000","5,69,00,000","21,15,989","45,45,627","2,67,710",15134,0,
Nicaragua,2.2747,19,0,0,5,1,14,0,104,265,0,654,163,30.0,0.0,0.0,0.0,0.0,"14,00,00,000","11,31,00,00,000",147,0,35000,0,"30,30,436","60,85,213","1,30,370",910,2220,1253.0
Niger,2.0153,16,0,2,5,0,7,1,0,182,0,0,0,,,,,,"32,50,00,000","3,72,80,00,000",30,11000,6500,"15,00,00,000","67,54,519","1,98,66,231","12,67,000",,300,5834.0
Nigeria,0.6485,129,8,13,21,47,44,15,253,1789,25,339,36,75.0,0.0,0.0,0.0,0.0,"2,15,50,00,000","40,96,00,00,000",54,"19,46,000","2,75,000","37,06,00,00,000","7,71,08,499","20,34,52,505","9,23,768",853,8600,4477.0
North Korea,0.3718,949,458,114,4,169,204,20,6045,10000,800,1000,2110,984.0,0.0,83.0,0.0,11.0,"1,60,00,00,000","5,00,00,00,000",82,0,15500,0,"1,30,45,878","2,53,81,085","1,20,538",2495,2250,1607.0
North Macedonia,3.1808,20,0,0,0,10,14,4,31,251,0,144,24,,,,,,"10,81,52,512","8,79,00,00,000",10,0,18500,0,"10,53,116","21,18,945",25713,,280,838.0
Norway,0.5277,150,59,15,4,32,47,0,52,730,80,0,12,62.0,0.0,6.0,0.0,4.0,"7,17,90,00,000","6,42,30,00,00,000",95,"16,18,000","2,60,000","6,61,10,00,000","21,70,365","53,72,191","3,23,802",25148,1577,2566.0
Oman,1.2514,131,29,10,9,46,42,0,117,761,39,144,12,16.0,0.0,0.0,0.0,0.0,"8,68,60,00,000","46,27,00,00,000",132,"9,70,400","1,00,000","5,37,30,00,000","17,64,529","34,94,116","3,09,500",2092,0,1561.0
Pakistan,0.2364,1372,356,90,49,513,346,56,2200,7330,429,1226,100,100.0,0.0,8.0,0.0,9.0,"11,40,00,00,000","82,19,00,00,000",151,89720,"5,75,000","35,06,00,000","9,63,44,277","20,78,62,518","7,96,095",1046,25220,7257.0
Panama,3.6537,39,0,0,11,4,23,0,0,65,0,0,0,20.0,0.0,0.0,0.0,0.0,"50,00,00,000","91,53,00,00,000",117,0,"1,00,000",0,"17,59,698","38,00,644",75420,2490,800,687.0
Paraguay,2.1898,33,0,0,6,15,11,0,13,63,0,108,0,40.0,0.0,0.0,0.0,0.0,"25,00,00,000","17,70,00,00,000",799,0,30000,0,"33,72,366","70,25,763","4,06,752",,3100,4655.0
Peru,0.6219,273,17,38,40,77,99,16,146,552,24,231,70,60.0,0.0,5.0,0.0,7.0,"2,56,00,00,000","66,25,00,00,000",191,43520,"2,10,000","47,30,00,000","1,53,52,302","3,13,31,228","12,85,216",2414,8808,7062.0
Philippines,0.7852,171,0,19,23,24,97,0,7,513,0,286,0,103.0,0.0,0.0,0.0,2.0,"3,47,00,00,000","76,18,00,00,000",247,15000,"3,20,000","13,85,00,000","5,18,87,757","10,58,93,381","3,00,000",36289,3219,
Poland,0.3397,457,91,0,49,104,176,30,1069,2547,547,0,180,87.0,0.0,3.0,0.0,2.0,"12,00,00,00,000","2,41,00,00,00,000",126,20070,"5,85,000","13,78,00,000","1,88,26,137","3,84,20,687","3,12,685",440,3997,2845.0
Portugal,0.8612,90,24,0,11,18,23,0,133,756,18,61,0,41.0,0.0,2.0,0.0,5.0,"3,35,80,00,000","4,49,00,00,00,000",64,0,"2,65,000",0,"48,04,949","1,03,55,493",92090,1793,210,1224.0
Qatar,1.6703,123,24,6,12,35,46,3,92,250,46,12,15,86.0,0.0,0.0,0.0,0.0,"6,00,00,00,000","1,67,80,00,00,000",6,"15,00,000","1,90,000","25,24,00,00,000","6,12,164","23,63,569",11586,563,0,87.0
Republic of the Congo,2.9509,13,2,0,3,0,8,1,86,225,0,0,6,6.0,0.0,0.0,0.0,0.0,"71,50,00,000","4,60,50,00,000",27,"2,44,200","1,85,000","1,60,00,00,000","19,38,754","50,62,021","3,42,000",169,1120,5008.0
